cmt,tên,vận chuyển,giá,đóng gói,dịch vụ,mùi hương,chất lượng,kết cấu,độ bền,màu sắc,Không dùng được đánh X
"Mấy hôm đầu dùng có hơi châm chích, nhưng sau đó ko còn bị nữa, da cũng cải thiện hơn nhiều",Tinh chất dưỡng da Shiseido Ultimune Power Infusing Concentrate 50ml,0,0,0,0,0,1,0,0,0,
giao hàng nhanh hàng tặng đầy đủ sẽ tiếp tục ủng hộ shop nè. Mình cũng check mã r uy tính luôn,Tinh chất dưỡng da Shiseido Ultimune Power Infusing Concentrate 50ml,1,0,0,1,0,0,0,0,0,
"Quá nhiều quà
Quá thích",Tinh chất dưỡng da Shiseido Ultimune Power Infusing Concentrate 50ml,0,0,0,1,0,0,0,0,0,
Hàng giao ok,Tinh chất dưỡng da Shiseido Ultimune Power Infusing Concentrate 50ml,0,0,0,0,0,1,0,0,0,
"sài ổn hơn những loại khác mn ạ, dùng có cảm giác an toàn và hài lòng",Tinh chất dưỡng da Shiseido Ultimune Power Infusing Concentrate 50ml,0,0,0,0,0,1,0,0,0,
"Giao khá nhanh, quà tặng đầy đủ, chất lượng. Giá quá tốt.",Tinh chất dưỡng da Shiseido Ultimune Power Infusing Concentrate 50ml,1,1,0,1,0,1,0,0,0,
"Mình là fan Shiseido nên không còn gì để bàn về chất lượng sản phẩm. 
Nay Tiki vs Shiseido tặng quà quá trời. 
Cảm ơn bạn giao hàng dễ thương của Tiki nữa.",Sữa chống nắng Shiseido GSC The Perfect Protector 50ml,1,0,0,1,0,1,0,0,0,
Dòng chống nắng này mình dùng thường xuyên. Khá tốt cho da hay chảy mồ hôi khi bị nóng. Loại này mình cũng đã xài hơn 15 năm.,Sữa chống nắng Shiseido GSC The Perfect Protector 50ml,0,0,0,0,0,1,0,0,0,
"Dùng rất thích. Kcn có mùi thơm nhẹ, lớp finish hơi bóng làm da nhìn mướt, tán nhanh và mau khô, không gây cakey, không mùi cồn, kiềm dầu ổn, mỗi tội dùng hao vì dạng sữa. Là kcn chân ái của mình
Đây là kcn cùng cty với Anessa nhưng cao cấp hơn, mng nên đầu tư 1 em",Sữa chống nắng Shiseido GSC The Perfect Protector 50ml,0,0,0,0,1,1,1,1,0,
hơi nâng tông da nhưng xài êm thích,Sữa chống nắng Shiseido GSC The Perfect Protector 50ml,0,0,0,0,0,1,0,0,0,
"sản phẩm đóng gói cẩn thận, sản phẩm và quà tặng như hình. Hài lòng về sp",Sữa chống nắng Shiseido GSC The Perfect Protector 50ml,0,0,1,1,0,1,0,0,0,
"Nhận hàng đầy đủ quà tặng, mua 1 dc 7 nên thích, đã dùng KCN này, thấy rất ổn",Sữa chống nắng Shiseido GSC The Perfect Protector 50ml,0,0,0,1,0,1,0,0,0,
"Sản phẩm đóng gói cẩn thận, hàng tặng kèm đầy đủ như quảng cáo.
Mua nhiều loại sản phẩm 1 lần, nhưng lại chia ra 3 lần giao . 
Đề nghị TIKI xem lại, điều chỉnh , rút gọn cách giao hàng để tránh mất công người mua( ở chung cư lên xuống nhiều lần )và cả shipper",Sữa chống nắng Shiseido GSC The Perfect Protector 50ml,1,0,1,1,0,1,0,0,0,
"Đóng gói đẹp,dc tặng 2 món. Mua được giá sale 950k.",Sữa chống nắng Shiseido GSC The Perfect Protector 50ml,0,1,1,1,0,0,0,0,0,
Dùng thích nha. Khô thoáng ko thay đổi màu da,Sữa chống nắng Shiseido GSC The Perfect Protector 50ml,0,0,0,0,0,1,0,0,0,
"Sản phẩm chính hãng, nhiều quà",Sữa chống nắng Shiseido GSC The Perfect Protector 50ml,0,0,0,1,0,1,0,0,0,
"Mình thấy chương trình mua hàng được khuyến mại của Laneige trên Facebook, mình nhấn vào để mua hàng thì link mua hàng chuyển qua Tiki và mình nhận hàng thì k nhận được sản phẩm khuyến mại đi kèm như quảng cáo.
Sau đó tìm hiểu mới biết mình mua không vào ngày được nhận chương trình nhưng trên hiển thị vẫn có combo khuyến mại, chỉ là thời hạn được viết rất nhỏ trên góc mình k để ý.
Mọi ng mua hàng cần chú ý nhé ạ!",Kem Dưỡng Ẩm Dành Cho Da Dầu Và Da Hỗn Hợp Laneige Water Bank Blue HA Cream Oily 50ml,0,0,0,1,0,0,0,0,0,
"Mua trúng đợt sale nên được tặng quá trời sample luôn ạ. Loại này là dòng mới của Water Bank, mình chưa dùng nên không biết so với loại cũ thì như thế nào. Nhưng hàng của Laneige thì mình tin tưởng, mua trên Tiki Trading nên lại càng yên tâm",Kem Dưỡng Ẩm Dành Cho Da Dầu Và Da Hỗn Hợp Laneige Water Bank Blue HA Cream Oily 50ml,0,0,0,1,0,1,0,0,0,
"Da hỗn hợp vừa khô vừa dầu dùng thử k thấy bị bóng dầu, bước đầu vậy là khá ok, sẽ theo dõi thêm hợp là gắn bó thôi, đc rất nb quà nữa😍",Kem Dưỡng Ẩm Dành Cho Da Dầu Và Da Hỗn Hợp Laneige Water Bank Blue HA Cream Oily 50ml,0,0,0,1,0,1,0,0,0,
"Mình mới mua nên chưa đánh giá đc chất lượng sản phẩm, mua đc sp chính hãng, vỏ kem đẹp, đc giảm giá và hàng tặng rất nhiều, mong sẽ hợp với da",Kem Dưỡng Ẩm Dành Cho Da Dầu Và Da Hỗn Hợp Laneige Water Bank Blue HA Cream Oily 50ml,0,1,0,1,0,0,0,0,0,
Sao mình mua có quà tặng kèm là bộ du lịch mà ko thấy ship chỉ ship mỗi hũ kem an?,Kem Dưỡng Ẩm Dành Cho Da Dầu Và Da Hỗn Hợp Laneige Water Bank Blue HA Cream Oily 50ml,0,0,0,1,0,0,0,0,0,
Sao trên bài đăng có quà đính kèm mà sao giao lại không có vậy ạ?,Kem Dưỡng Ẩm Dành Cho Da Dầu Và Da Hỗn Hợp Laneige Water Bank Blue HA Cream Oily 50ml,0,0,0,1,0,0,0,0,0,
Giao hàng nhanh chóng. Sản phẩm chưa dùng nên chưa biết như thế nào nhưng mình dùng hãng này nhiều rồi,Kem Dưỡng Ẩm Dành Cho Da Dầu Và Da Hỗn Hợp Laneige Water Bank Blue HA Cream Oily 50ml,1,0,0,0,0,0,0,0,0,
"Kem dưỡng ẩm rất tốt. 27/3 được giảm giá nhận thêm nhiều mẫu nhỏ của Laneige.
Cảm ơn shop, cảm ơn Tiki !",Kem Dưỡng Ẩm Dành Cho Da Dầu Và Da Hỗn Hợp Laneige Water Bank Blue HA Cream Oily 50ml,0,1,0,1,0,1,0,0,0,
sử dụng tốt. không bị ra quá nhiều dầu hay khô da nữa.,Kem Dưỡng Ẩm Dành Cho Da Dầu Và Da Hỗn Hợp Laneige Water Bank Blue HA Cream Oily 50ml,0,0,0,0,0,1,0,0,0,
"Nhiều sp tặng kèm, dùng 2 lần thấy cũng ổn, giao nhanh, mẫu mã sp xinh",Kem Dưỡng Ẩm Dành Cho Da Dầu Và Da Hỗn Hợp Laneige Water Bank Blue HA Cream Oily 50ml,1,0,0,1,0,1,0,0,0,
"Mua với chương trình quà tặng là: mua 1 tuýp sữa dưỡng da chống nắng ban ngày sẽ được tặng 2 hủ gel dưỡng trắng mỗi hủ 15ml như hình 1, và mình đã kiểm tra kỷ trước khi thanh toán là đã có sản phẩm quà tặng trong giỏ hàng, nhưng đến lúc giao hàng vẫn không có 2 hủ gel quà tặng đó. Không biết đây là sự thiếu xót vô tình hay là sự cố tình của các nhà bán hàng vì lần trước mình cũng đã bị 1 lần đối với nhãn hàng Innisfree. Cảm thấy thật sự thất vọng, vì cứ như bị lừa. Mình muốn trả hàng, nhờ tiki giải quyết dùm mình.",Sữa dưỡng sáng da ban ngày Shiseido White Lucent Day Emulsion 50ml,0,0,0,1,0,0,0,0,0,
"Lần đầu mình dùng Shiseido, shop gói hàng đẹp, chất lượng sản phẩm toẹt dời luôn mn ạ. Giá sản phẩm đắt nhưng do săn sales nên mình mua được giá hạt dẻ, mua một mà được 2 3 4 quà rất thik luôn mn ơi, mình sẽ tiếp tục ủng hộ shop.",Sữa dưỡng sáng da ban ngày Shiseido White Lucent Day Emulsion 50ml,0,1,1,1,0,1,0,0,0,
Tem chống hàng giả đã rách. Tip kem này đã có người mở nắp . Ko biết shop xử lý vấn dề này như nào,Sữa dưỡng sáng da ban ngày Shiseido White Lucent Day Emulsion 50ml,0,0,0,1,0,0,0,0,0,
"Mình lần đầu xài thử mong là đem lại hiệu quả tốt. Giao đúng sản phẩm kèm quà tặng, giao hàng nhanh, đóng gói cẩn thận.",Sữa dưỡng sáng da ban ngày Shiseido White Lucent Day Emulsion 50ml,1,0,1,1,0,0,0,0,0,
"Kem mỏng, thẩm thấu nhanh, tạo lớp filter bóng nhẹ, căn bóng da cảm giác rất thích.",Sữa dưỡng sáng da ban ngày Shiseido White Lucent Day Emulsion 50ml,0,0,0,0,0,1,1,0,0,
"Trên trang quảng cáo thấy có tặng kèm quà tặng thêm,nhưng khi nhận hàng thì ko thấy vậy shop",Sữa dưỡng sáng da ban ngày Shiseido White Lucent Day Emulsion 50ml,0,0,0,1,0,0,0,0,0,
"Mình dùng sp này của shiseido đã lâu và vẫn thấy hài lòng. Nay mua ngày 7.7 vừa đc giảm giá vừa đc tặng quà. Shop giao hàng đúng như mô tả, đóng gói cẩn thận. Hài lòng.",Sữa dưỡng sáng da ban ngày Shiseido White Lucent Day Emulsion 50ml,0,1,1,1,0,1,0,0,0,
"Sản phấm Shiseido tốt cho da, không bị kích ứng. Nay Tiki giảm giá cộng thêm Shiseido shop nhiều quà tặng.
Cảm ơn Tiki và Shop Shiseido !",Sữa dưỡng sáng da ban ngày Shiseido White Lucent Day Emulsion 50ml,0,1,0,1,0,1,0,0,0,
"Sản phẩm tốt, giao hàng nhanh. Quà tặng nhiều",Sữa dưỡng sáng da ban ngày Shiseido White Lucent Day Emulsion 50ml,1,0,0,1,0,1,0,0,0,
